"","species mix","species 1","species 2","species 3","species 4","species 5","species 6","species 7","species 8","species 9","species 10","species 11","species 12","species 13","sepcies 14","species 15","ground leaves","total"
"2","ML.7316.rep1","CAMROT","ZIZAUR","ECHPUR","DESILL","ANECYL","PHYVIR","OENPIL","SILLAC","PYCTEN","ZIZAPT","HYPPUN","ASCSYR","OLIRIG","CXBLAN","AGANEP","GL","Total B"
"470","","4.3","","11.2","4.2","4.2","","11.3","11.2","","","49.1","","11.2","","","11.1","Bag Weight"
"474","HH.1374866.rep2","SPIALB","MAIRAC","HELSTR","CAMSCI","CXBREV","HIEODO","TEUCAN","SILLAC","ANEVIR","TRAOHI","ZIZAPT","CHAFAS","SORNUT","ROSCAR","ANECYL","GL","Total B"
"477","","","","","","4.3","4.2","4.2","","11.2","4.3","11.3","11.3","48","4.3","","0","Bag Weight"
"478","MH.1987913.rep2","ALLCER","ROSCAR","HEURIC","PARINT","CAMSCI","DALPUR","TRAOHI","SOLNEM","PANVIR","EUTGRA","CXBLAN","HIEODO","MONBRA","JUNDUD","ANDGER","GL","Total B"
"481","","","4.3","","21.2","","4.3","11.3","4.2","4.3","48.2","11.1","11.3","11.2","4.3","","0","Bag Weight"
"482","ML.7316.rep2","ZIZAUR","PYCTEN","DESILL","CXBLAN","OLIRIG","AGANEP","PHYVIR","ECHPUR","ASCSYR","ANECYL","OENPIL","HYPPUN","CAMROT","SILLAC","ZIZAPT","GL","Total B"
"485","","4.3","4.3","4.3","4.3","21.4","49.1","11.2","4.2","4.3","4.3","11.2","","4.4","4.2","4.2","11.2","Bag Weight"
"493","MH.831258.rep2","LILMIC","BAPALB","BAPBRA","VERGIG","ERASPE","ERYYUC","CEAAME","PENDIG","ALLCER","OLIRIG","SENHEB","AGATEN","ASCSYR","HELMOL","MONBRA","GL","Total B"
"496","","","4.2","4.3","4.3","15.4","11.1","4.3","11.3","4.3","49.2","4.2","4.2","","4.3","11.1","0","Bag Weight"
"498","HH.782981.rep2","LIASCN","HELAUT","ANECAN","PYCVIR","OENPIL","ALLCAN","ROSCAR","SOLSPE","CXBICK","ZIZAPT","ROSSET","CEAAME","AMOCAN","AGATEN","TRAOHI","GL","Total B"
"501","","21.4","49.5","4.3","11.2","4.3","4.3","11.3","49.5","4.3","4.3","11.2","4.3","","","4.2","11.2","Bag Weight"
"502","LH.236970.rep2","BRIEUP","BAPBRA","LIAASP","CHAFAS","LIAPYC","ELYCAN","BOUCUR","CXBLAN","ERYYUC","PANVIR","CXANNE","AMOCAN","SORNUT","AGANEP","CASCOC","GL","Total B"
"505","","21.3","","4.3","","11.2","11.1","4.3","11.2","4.3","4.2","11.1","4.2","11.1","49.2","","11.3","Bag Weight"
"509","CONTROL","","","","","","","","","","","","","","","","",""
"516","","24.1","164.7","","6","9.4","30.6","12.1","5.4","15","195.3","9.4","","14.8","649.4","6.3","32.9","Tot. Weight"
"517","","11.2","21.4","","4.2","4.3","4.2","4.2","4.2","4.3","21.4","4.3","","4.3","97.8","4.3","4.3","Bag Weight"
"521","","33.5","73.9","","38.9","32.1","","","","4.7","59.4","6.2","166.1","4.3","","131.7","0","Tot. Weight"
"522","","11.2","11.2","","11.2","11.2","","","","4.3","11.2","4.2","21.3","4.3","","11.2","0","Bag Weight"
"533","","11.5","8.9","136.7","4.7","4.6","4.2","116.8","35.9","","5.9","","44.9","4.3","484.8","8","45.7","Tot. Weight"
"534","","8.5","4.4","21.3","4.3","4.3","4.2","21.1","11.3","","4.3","","11.2","4.3","48.3","4.2","11.2","Bag Weight"
"540","","4.4","6.3","10.1","59.2","7.7","","","4.9","5.7","87.2","18.5","5.1","4.9","4.8","14.3","17.7","Tot. Weight"
"541","","4.3","4.3","4.3","11.3","4.2","","","4.3","4.2","11.2","4.3","4.3","4.2","4.2","4.3","4.2","Bag Weight"
